Nazwa dewelopera;Forma prawna dewelopera;Nr KRS;Nr wpisu do CEiDG;Nr NIP;Nr REGON;Nr telefonu;Adres poczty elektronicznej;Nr faxu;Adres strony internetowej dewelopera;Województwo adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera;Powiat adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera ;Gmina adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera;Miejscowość adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera;Ulica adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera;Nr nieruchomości adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera;Nr lokalu adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera;Kod pocztowy adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera;Województwo adresu lokalu, w którym prowadzona jest sprzedaż;Powiat adresu lokalu, w którym prowadzona jest sprzedaż;Gmina adresu lokalu, w którym prowadzona jest sprzedaż;Miejscowość adresu lokalu, w którym prowadzona jest sprzedaż;Ulica adresu lokalu, w którym prowadzona jest sprzedaż;Nr nieruchomości adresu lokalu, w którym prowadzona jest sprzedaż;Nr lokalu adresu lokalu, w którym prowadzona jest sprzedaż;Kod pocztowy adresu lokalu, w którym prowadzona jest sprzedaż;Dodatkowe lokalizacje, w których prowadzona jest sprzedaż;Sposób kontaktu nabywcy z deweloperem;Województwo lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego;Powiat lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego;Gmina lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego;Miejscowość lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego;Ulica lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego;Nr nieruchomości lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego;Kod pocztowy lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego;Rodzaj nieruchomości: lokal mieszkalny, dom jednorodzinny ;Nr lokalu lub domu jednorodzinnego nadany przez dewelopera;Cena m 2 powierzchni użytkowej lokalu mieszkalnego / domu jednorodzinnego [zł];Data od której cena obowiązuje cena m 2 powierzchni użytkowej lokalu mieszkalnego / domu jednorodzinnego;Cena lokalu mieszkalnego lub domu jednorodzinnego będących przedmiotem umowy stanowiąca iloczyn ceny m2 oraz powierzchni [zł];Data od której cena obowiązuje cena lokalu mieszkalnego lub domu jednorodzinnego będących przedmiotem umowy stanowiąca iloczyn ceny m2 oraz powierzchni;Cena lokalu mieszkalnego lub domu jednorodzinnego uwzględniająca cenę lokalu stanowiącą iloczyn powierzchni oraz metrażu i innych składowych ceny, o których mowa w art. 19a ust. 1 pkt 1), 2) lub 3) [zł];Data od której obowiązuje cena lokalu mieszkalnego lub domu jednorodzinnego uwzględniająca cenę lokalu stanowiącą iloczyn powierzchni oraz metrażu i innych składowych ceny, o których mowa w art. 19a ust. 1 pkt 1), 2) lub 3);Rodzaj części nieruchomości będących przedmiotem umowy;Oznaczenie części nieruchomości nadane przez dewelopera;Cena części nieruchomości, będących przedmiotem umowy [zł];Data od której obowiązuje cena części nieruchomości, będących przedmiotem umowy;Rodzaj pomieszczeń przynależnych, o których mowa w art. 2 ust. 4 ustawy z dnia 24 czerwca 1994 r. o własności lokali;Oznaczenie pomieszczeń przynależnych, o których mowa w art. 2 ust. 4 ustawy z dnia 24 czerwca 1994 r. o własności lokali;Wyszczególnienie cen pomieszczeń przynależnych, o których mowa w art. 2 ust. 4 ustawy z dnia 24 czerwca 1994 r. o własności lokali [zł];Data od której obowiązuje cena wyszczególnionych pomieszczeń przynależnych, o których mowa w art. 2 ust. 4 ustawy z dnia 24 czerwca 1994 r. o własności lokali;Wyszczególnienie praw niezbędnych do korzystania z lokalu mieszkalnego lub domu jednorodzinnego;Wartość praw niezbędnych do korzystania z lokalu mieszkalnego lub domu jednorodzinnego [zł];Data od której obowiązuje cena wartości praw niezbędnych do korzystania z lokalu mieszkalnego lub domu jednorodzinnego;Wyszczególnienie rodzajów innych świadczeń pieniężnych, które nabywca zobowiązany jest spełnić na rzecz dewelopera w wykonaniu umowy przenoszącej własność;Wartość innych świadczeń pieniężnych, które nabywca zobowiązany jest spełnić na rzecz dewelopera w wykonaniu umowy przenoszącej własność [zł];Data od której obowiązuje cena wartości innych świadczeń pieniężnych, które nabywca zobowiązany jest spełnić na rzecz dewelopera w wykonaniu umowy przenoszącej własność;Adres strony internetowej, pod którym dostępny jest prospekt informacyjny
ALU-CONSTRUCTION Zbigniew Wąsik;;;5470124989;5470124989;070851723;660751199;alucons@interia.pl;;https://ustron-mieszkania.pl;śląskie;Bielsko-Biała;Bielsko-Biała;Bielsko-Biała;ul. Tadeusza;58;;43-382;śląskie;Bielsko-Biała;Bielsko-Biała;Bielsko-Biała;ul. Tadeusza;58;;43-382;;"telefon; e-mail";śląskie;cieszyński;Ustroń;Ustroń;ul. Skoczowska;56;43-450;Lokal mieszkalny;56BH1;12000;2025-10-16 16:00:00;707520;2025-10-16 16:00:00;707520;2025-10-16 16:00:00;X;X;0;2025-10-16 16:00:00;X;X;0;2025-10-16 16:00:00;X;0;2025-10-16 16:00:00;X;0;2025-10-16 16:00:00;https://ustron-mieszkania.pl
ALU-CONSTRUCTION Zbigniew Wąsik;;;5470124989;5470124989;070851723;660751199;alucons@interia.pl;;https://ustron-mieszkania.pl;śląskie;Bielsko-Biała;Bielsko-Biała;Bielsko-Biała;ul. Tadeusza;58;;43-382;śląskie;Bielsko-Biała;Bielsko-Biała;Bielsko-Biała;ul. Tadeusza;58;;43-382;;"telefon; e-mail";śląskie;cieszyński;Ustroń;Ustroń;ul. Skoczowska;56;43-450;Lokal mieszkalny;56BG1;12000;2025-10-16 16:00:00;699240;2025-10-16 16:00:00;699240;2025-10-16 16:00:00;X;X;0;2025-10-16 16:00:00;X;X;0;2025-10-16 16:00:00;X;0;2025-10-16 16:00:00;X;0;2025-10-16 16:00:00;https://ustron-mieszkania.pl
ALU-CONSTRUCTION Zbigniew Wąsik;;;5470124989;5470124989;070851723;660751199;alucons@interia.pl;;https://ustron-mieszkania.pl;śląskie;Bielsko-Biała;Bielsko-Biała;Bielsko-Biała;ul. Tadeusza;58;;43-382;śląskie;Bielsko-Biała;Bielsko-Biała;Bielsko-Biała;ul. Tadeusza;58;;43-382;;"telefon; e-mail";śląskie;cieszyński;Ustroń;Ustroń;ul. Skoczowska;56;43-450;Lokal mieszkalny;56BF1;12000;2025-10-16 16:00:00;699480;2025-10-16 16:00:00;699480;2025-10-16 16:00:00;X;X;0;2025-10-16 16:00:00;X;X;0;2025-10-16 16:00:00;X;0;2025-10-16 16:00:00;X;0;2025-10-16 16:00:00;https://ustron-mieszkania.pl
ALU-CONSTRUCTION Zbigniew Wąsik;;;5470124989;5470124989;070851723;660751199;alucons@interia.pl;;https://ustron-mieszkania.pl;śląskie;Bielsko-Biała;Bielsko-Biała;Bielsko-Biała;ul. Tadeusza;58;;43-382;śląskie;Bielsko-Biała;Bielsko-Biała;Bielsko-Biała;ul. Tadeusza;58;;43-382;;"telefon; e-mail";śląskie;cieszyński;Ustroń;Ustroń;ul. Skoczowska;56;43-450;Lokal mieszkalny;56BE1;12000;2025-10-16 16:00:00;698760;2025-10-16 16:00:00;698760;2025-10-16 16:00:00;X;X;0;2025-10-16 16:00:00;X;X;0;2025-10-16 16:00:00;X;0;2025-10-16 16:00:00;X;0;2025-10-16 16:00:00;https://ustron-mieszkania.pl
ALU-CONSTRUCTION Zbigniew Wąsik;;;5470124989;5470124989;070851723;660751199;alucons@interia.pl;;https://ustron-mieszkania.pl;śląskie;Bielsko-Biała;Bielsko-Biała;Bielsko-Biała;ul. Tadeusza;58;;43-382;śląskie;Bielsko-Biała;Bielsko-Biała;Bielsko-Biała;ul. Tadeusza;58;;43-382;;"telefon; e-mail";śląskie;cieszyński;Ustroń;Ustroń;ul. Skoczowska;56;43-450;Lokal mieszkalny;56BD1;12000;2025-10-16 16:00:00;703080;2025-10-16 16:00:00;703080;2025-10-16 16:00:00;X;X;0;2025-10-16 16:00:00;X;X;0;2025-10-16 16:00:00;X;0;2025-10-16 16:00:00;X;0;2025-10-16 16:00:00;https://ustron-mieszkania.pl
ALU-CONSTRUCTION Zbigniew Wąsik;;;5470124989;5470124989;070851723;660751199;alucons@interia.pl;;https://ustron-mieszkania.pl;śląskie;Bielsko-Biała;Bielsko-Biała;Bielsko-Biała;ul. Tadeusza;58;;43-382;śląskie;Bielsko-Biała;Bielsko-Biała;Bielsko-Biała;ul. Tadeusza;58;;43-382;;"telefon; e-mail";śląskie;cieszyński;Ustroń;Ustroń;ul. Skoczowska;56;43-450;Lokal mieszkalny;56BH2;12000;2025-10-16 16:00:00;866760;2025-10-16 16:00:00;866760;2025-10-16 16:00:00;X;X;0;2025-10-16 16:00:00;X;X;0;2025-10-16 16:00:00;X;0;2025-10-16 16:00:00;X;0;2025-10-16 16:00:00;https://ustron-mieszkania.pl
ALU-CONSTRUCTION Zbigniew Wąsik;;;5470124989;5470124989;070851723;660751199;alucons@interia.pl;;https://ustron-mieszkania.pl;śląskie;Bielsko-Biała;Bielsko-Biała;Bielsko-Biała;ul. Tadeusza;58;;43-382;śląskie;Bielsko-Biała;Bielsko-Biała;Bielsko-Biała;ul. Tadeusza;58;;43-382;;"telefon; e-mail";śląskie;cieszyński;Ustroń;Ustroń;ul. Skoczowska;56;43-450;Lokal mieszkalny;56BG2;12000;2025-10-16 16:00:00;858000;2025-10-16 16:00:00;858000;2025-10-16 16:00:00;X;X;0;2025-10-16 16:00:00;X;X;0;2025-10-16 16:00:00;X;0;2025-10-16 16:00:00;X;0;2025-10-16 16:00:00;https://ustron-mieszkania.pl
ALU-CONSTRUCTION Zbigniew Wąsik;;;5470124989;5470124989;070851723;660751199;alucons@interia.pl;;https://ustron-mieszkania.pl;śląskie;Bielsko-Biała;Bielsko-Biała;Bielsko-Biała;ul. Tadeusza;58;;43-382;śląskie;Bielsko-Biała;Bielsko-Biała;Bielsko-Biała;ul. Tadeusza;58;;43-382;;"telefon; e-mail";śląskie;cieszyński;Ustroń;Ustroń;ul. Skoczowska;56;43-450;Lokal mieszkalny;56BF2;12000;2025-10-16 16:00:00;856800;2025-10-16 16:00:00;856800;2025-10-16 16:00:00;X;X;0;2025-10-16 16:00:00;X;X;0;2025-10-16 16:00:00;X;0;2025-10-16 16:00:00;X;0;2025-10-16 16:00:00;https://ustron-mieszkania.pl
ALU-CONSTRUCTION Zbigniew Wąsik;;;5470124989;5470124989;070851723;660751199;alucons@interia.pl;;https://ustron-mieszkania.pl;śląskie;Bielsko-Biała;Bielsko-Biała;Bielsko-Biała;ul. Tadeusza;58;;43-382;śląskie;Bielsko-Biała;Bielsko-Biała;Bielsko-Biała;ul. Tadeusza;58;;43-382;;"telefon; e-mail";śląskie;cieszyński;Ustroń;Ustroń;ul. Skoczowska;56;43-450;Lokal mieszkalny;56BE2;12000;2025-10-16 16:00:00;868080;2025-10-16 16:00:00;868080;2025-10-16 16:00:00;X;X;0;2025-10-16 16:00:00;X;X;0;2025-10-16 16:00:00;X;0;2025-10-16 16:00:00;X;0;2025-10-16 16:00:00;https://ustron-mieszkania.pl
ALU-CONSTRUCTION Zbigniew Wąsik;;;5470124989;5470124989;070851723;660751199;alucons@interia.pl;;https://ustron-mieszkania.pl;śląskie;Bielsko-Biała;Bielsko-Biała;Bielsko-Biała;ul. Tadeusza;58;;43-382;śląskie;Bielsko-Biała;Bielsko-Biała;Bielsko-Biała;ul. Tadeusza;58;;43-382;;"telefon; e-mail";śląskie;cieszyński;Ustroń;Ustroń;ul. Skoczowska;56;43-450;Lokal mieszkalny;56BD2;12000;2025-10-16 16:00:00;872280;2025-10-16 16:00:00;872280;2025-10-16 16:00:00;X;X;0;2025-10-16 16:00:00;X;X;0;2025-10-16 16:00:00;X;0;2025-10-16 16:00:00;X;0;2025-10-16 16:00:00;https://ustron-mieszkania.pl
